id,word,definition,source,author,timestamp
1,canonical,"authorized, recognized, accepted",http://www.dictionary.com/browse/canonical,davia,
2,test script,a set of instructions to be performed on a system to ensure a system functions as expected,https://en.wikipedia.org/wiki/Test_script,davia,
3,get,The HTTP GET method requests a representation of the specified resource. Requests using GET should only retrieve data,https://developer.mozilla.org/en-US/docs/Web/HTTP/Methods/GET,davia,
